A,B,C,D
-0.19682285,2.466269,-0.033416867,-0.2582398
-0.06986061,1.557055,0.023225889,-0.11332369
-0.030546814,1.275722,0.03223735,-0.062898636
-0.0036361516,1.0832267,0.0350807,-0.026217341
0.020944089,0.8641999,0.01884602,0.019756138
0.026757479,0.78402424,-0.00062039495,0.040940106
0.03045854,0.735757,-0.005693659,0.049647152
0.029844373,0.7236421,0.0037060082,0.04272616
0.030577272,0.7171658,0.005328983,0.04272467
0.020267129,0.8688837,0.019790515,0.018172562
-0.0030653477,1.0791473,0.034980386,-0.025334716
0.030041546,0.72217107,0.004081145,0.042764485
0.029318005,0.7347194,-0.0012462735,0.04516214
0.030552,0.71815693,0.004819393,0.043016434
0.032271832,0.69952655,0.011031702,0.04146421
0.022547334,0.8450986,0.0141990185,0.025114179
0.02440375,0.81374955,0.006466061,0.032893956
0.018554837,0.9075799,0.02882114,0.009714067
0.018538564,0.90817475,0.029804915,0.0090479255
0.021320134,0.8605994,0.018159017,0.02074629
0.020614594,0.86750317,0.01999569,0.018531203
0.01889044,0.9063444,0.030736476,0.008941829
0.02690208,0.7823596,-0.0010751188,0.04144627
0.026055485,0.7946317,0.002023071,0.038186967
0.023937732,0.8275442,0.0102121085,0.029737413
0.02244854,0.8489275,0.015338287,0.024215937
0.027534485,0.77514315,-0.002829969,0.043507338
-0.016740203,1.1770487,0.030058622,-0.041710973
-0.124174505,1.946559,-0.02375856,-0.16050535
0.008265346,0.99631417,0.037212968,-0.010555804
-0.00068596005,1.0622275,0.031068832,-0.019381285
0.008488983,0.9813014,0.04054761,-0.012342811
0.00069344044,1.0523558,0.03140396,-0.017624319
0.009154081,0.9842677,0.038080633,-0.009821057
0.00705269,1.0068221,0.03395614,-0.0101802945
0.019113898,0.9045557,0.030269265,0.009566963
0.020012915,0.8897401,0.026803821,0.013150871
0.016469866,0.922323,0.032377034,0.0044140816
-0.040027976,1.3437266,0.023538202,-0.070810854
0.019877851,0.8862004,0.026080221,0.013450146
0.009701699,0.9772012,0.03868571,-0.009415865
0.008166015,0.9988518,0.034356117,-0.008846581
-0.026261657,1.2451985,0.027318656,-0.053560555
-0.06555629,1.5264401,0.016409755,-0.10272306
-0.112623185,1.8638587,-0.019539684,-0.14671206
-0.3456413,3.5296884,-0.003450185,-0.49083632
-0.29901376,3.1966214,-0.017899364,-0.4146654
-0.20021507,2.4899318,-0.008697689,-0.27918994
-0.09038356,1.7047229,-0.014968365,-0.117844045
-0.115507156,1.8845091,-0.020708188,-0.1500808
-0.18733218,2.3978512,-0.010339662,-0.2596745
-0.0731574,1.5812948,-0.004514128,-0.099984705
-0.060277313,1.4889746,0.004640907,-0.08750236
-0.096622676,1.7495317,-0.023103908,-0.12148118
-0.10606566,1.8171043,-0.025184765,-0.1336475
-0.16964081,2.2716606,-0.023385733,-0.22584945
-0.06024629,1.488581,0.01180777,-0.09212381
-0.058119982,1.4733207,0.014139727,-0.09059745
-0.049996138,1.4152219,0.014489472,-0.07919294
-0.11808929,1.9029613,-0.020221472,-0.15409493
-0.14448836,2.0916176,-0.015545711,-0.19493872
-0.06979227,1.5570676,0.0023392886,-0.09962803
-0.18350157,2.3706183,-0.016936928,-0.24989456
-0.15269616,2.1505113,-0.02399446,-0.20119083
-0.14313832,2.0820463,-0.018962383,-0.19078135
-0.019298404,1.1954789,0.024333924,-0.041647017
-0.07851705,1.619492,0.0008008629,-0.11111915
-0.07880682,1.621614,-0.0012841672,-0.11017668
-0.12268439,1.9359281,-0.024777547,-0.15770835
0.015214622,0.94027233,0.03442052,0.0012431741
-0.049928576,1.4147727,0.013081059,-0.07817924
0.0014720559,1.0470109,0.022135198,-0.010475218
-0.0009713471,1.0645089,0.021032706,-0.013256013
0.01566273,0.93010163,0.0356687,0.0011054277
0.020238698,0.8974998,0.030962259,0.010721564
0.014826387,0.9341669,0.036872,-0.0008664727
0.012452215,0.9682696,0.0315713,-0.00089627504
0.0028677285,1.0369484,0.02556029,-0.0107066035
0.0012615323,1.0484564,0.024618238,-0.012393177
0.026884079,0.79177904,0.0024989843,0.03904879
0.023809731,0.8315873,0.012275711,0.0281955
-0.0585154,1.4761653,0.013414115,-0.09069121
-0.06419173,1.5169065,0.007085994,-0.094699085
-0.014608234,1.1619825,0.022615612,-0.0338127
0.00570485,1.0166628,0.025505602,-0.0066086054
-0.034027666,1.3010235,0.015108228,-0.056731105
0.022394806,0.8723068,0.02477017,0.017887533
0.030071974,0.7499192,-0.0073370636,0.050109327
0.03149414,0.7279577,-0.012746394,0.055724323
0.018455416,0.90904474,0.033809572,0.00631994
0.028890938,0.7639713,-0.0037743747,0.04607153
0.027218968,0.7335712,-0.003267616,0.043550074
0.021547377,0.8902118,0.030959249,0.012587488
0.0029109418,1.0367286,0.021852747,-0.008230984
-0.13172594,2.0003743,-0.016183555,-0.1762495
-0.09449038,1.7342665,-0.022362322,-0.11891085
-0.0066532493,1.1051779,0.019371897,-0.020310521
-0.043401927,1.3681281,0.012048051,-0.06816143
-0.030968428,1.2791433,0.015303507,-0.052477837
0.004770577,1.0234149,0.022533268,-0.0060113072
0.013047129,0.96412206,0.02714637,0.002836287
-0.005663067,1.0980887,0.019732013,-0.01912713
0.014651388,0.9526372,0.027698845,0.0047736764
-0.029990405,1.272172,0.014383897,-0.050478756
-0.08588496,1.6726007,-0.01687397,-0.11016208
-0.05839649,1.4755177,0.0049774945,-0.08502841
-0.021726787,1.2129178,0.02122742,-0.043101728
-0.025713235,1.2414443,0.020354152,-0.048241258
-0.09983787,1.7725062,-0.022440463,-0.12651682
-0.049674302,1.4129548,0.01306361,-0.07780379
-0.0755955,1.5986695,-0.0020580292,-0.1050747
0.01704675,0.9354304,0.030973554,0.0060715675
-0.073328584,1.5824852,-0.0031097233,-0.101144075
-0.029814273,1.2708898,0.015336454,-0.050846696
-0.15972939,2.2006912,-0.019345805,-0.21428782
-0.29709247,3.1829104,-0.019064844,-0.41115552
-0.08237603,1.6474957,-0.016263962,-0.10553497
-0.1143935,1.8765633,-0.021430597,-0.14801592
-0.08273706,1.6500182,-0.013813406,-0.1076473
-0.06216392,1.5025039,0.003030613,-0.089155376
-0.14851597,2.1203732,-0.013716713,-0.20189649
-0.1611237,2.2106895,-0.020524487,-0.21551692
-0.08651134,1.6769986,-0.013475239,-0.11327171
-0.36293378,3.653211,0.0019031763,-0.519082
-0.2340019,2.7314835,-0.006872803,-0.32875603
-0.14203063,2.0739667,-0.012358189,-0.1934948
-0.04376903,1.3707938,0.010341987,-0.06757635
-0.011627048,1.1407332,0.019787401,-0.027702749
-0.09103799,1.7094898,-0.018609628,-0.11641055
-0.12761578,1.9710932,-0.020731568,-0.1674034
-0.23468533,2.7363992,-0.008078098,-0.32894993
-0.035675317,1.312861,0.012780294,-0.05757475
0.00030612946,1.0553885,0.020444646,-0.011044025
-0.027035743,1.250884,0.021055728,-0.050591588
0.0076743662,1.002584,0.025328636,-0.0036733747
0.003084451,1.035471,0.022557735,-0.008441567
0.014941305,0.95052063,0.02951309,0.004007697
-0.01579547,1.1705043,0.021272019,-0.034637928
-0.003362745,1.0816412,0.019688427,-0.015805066
-0.062029034,1.5014348,0.007373199,-0.091789424
-0.055720896,1.4562135,0.012153134,-0.085868895
-0.0036936402,1.0839853,0.020602018,-0.016873598
-0.059087932,1.4803083,0.011377558,-0.090185106
-0.04525265,1.3813181,0.01387389,-0.072000146
0.009485692,0.9895613,0.028268993,-0.0029940605
-0.008616358,1.1191523,0.021990553,-0.024826229
0.00995037,0.9862542,0.027615756,-0.0019034147
0.004363388,1.0262706,0.024858624,-0.008108199
0.021160394,0.8872558,0.028853804,0.013431668
0.024226934,0.8264458,0.011261195,0.029463828
0.030330926,0.7416663,-0.009634018,0.052006304
-0.017476708,1.1825042,0.022176683,-0.037634134
0.015447229,0.9385598,0.034256965,0.0016829967
0.015990049,0.9276085,0.03539756,0.0017513037
0.014549464,0.9532943,0.030691087,0.0026797056
0.01576075,0.9266037,0.03630033,0.0008478761
-0.004243225,1.087923,0.02027464,-0.017447412
-0.017050177,1.1794772,0.021237135,-0.036411762
0.022913128,0.8515538,0.018901795,0.022532344
-0.03133446,1.2817674,0.015020013,-0.052817345
0.024250567,0.83630514,0.014769703,0.027165115
0.023070216,0.85806465,0.021123737,0.02127397
0.0076182187,1.0030007,0.02469322,-0.0033400655
0.017562717,0.92949677,0.031301647,0.0066074133
0.017116517,0.9172189,0.035476297,0.0033242106
-0.06458631,1.5198035,0.0039489865,-0.09322184
0.01674068,0.9341638,0.032108963,0.0049105287
-0.011059493,1.1366472,0.020937324,-0.027638793
-0.12552795,1.9561577,-0.020456076,-0.16459328
-0.15218392,2.1465907,-0.013274953,-0.20743608
-0.30065605,3.2083793,-0.01851052,-0.416619
-0.17435494,2.304906,-0.00408341,-0.24516588
-0.14999303,2.1307676,-0.006723881,-0.20856404
-0.03960821,1.3410947,0.008137062,-0.060183227
-0.013670474,1.1554003,0.017491177,-0.029133797
-0.021117866,1.2087295,0.014320001,-0.0377329
-0.029368728,1.2678804,0.007969096,-0.045412302
-0.15315402,2.153379,-0.007083118,-0.21285623
-0.06723988,1.5391479,-0.011456281,-0.086992025
0.0077314675,1.0023642,0.0174779,0.0015194416
0.018400311,0.9259243,0.023782864,0.012691081
0.024607718,0.84362197,0.019089714,0.024816394
0.023694187,0.8866391,0.026710004,0.01837194
-0.05840847,1.4758358,-0.0046988428,-0.07874596
-0.016996384,1.179256,0.014424175,-0.031899273
0.009261489,0.99140775,0.018135369,0.0032821894
0.024094671,0.85199344,0.022037566,0.022139788
0.0039285123,1.0296388,0.01409471,-0.0017232895
-0.06958607,1.5560102,-0.015041098,-0.08801764
-0.027263254,1.2528844,0.0054905564,-0.04078394
-0.0014581382,1.068212,0.0117818415,-0.007930458
-0.19257775,2.4349132,0.008263737,-0.27929676
-0.26371083,2.9437404,0.0006147325,-0.37616974
-0.15642217,2.1765347,0.0018108636,-0.22332597
-0.09182891,1.7150466,-0.0144969225,-0.12022054
-0.06525862,1.5251393,-0.018076435,-0.07984525
-0.20033136,2.4902768,0.011560246,-0.29254502
-0.31789663,3.3314695,-0.010590941,-0.44646102
-0.15568778,2.1711304,0.00818105,-0.22642165
-0.16414669,2.231616,0.008207664,-0.23855096
-0.20306611,2.5097651,0.014348969,-0.2982763
-0.21925905,2.625607,0.012144908,-0.32002747
-0.23165336,2.7143435,0.0075559914,-0.3347869
-0.13886681,2.0509357,0.0046400875,-0.20003104
-0.07521674,1.596262,-0.014594749,-0.09637052
-0.077945024,1.6157258,-0.012705386,-0.10150713
-0.032150775,1.2879858,-0.00086192787,-0.043646574
-0.18677473,2.3933744,0.010083109,-0.27217215
-0.07112095,1.5669899,-0.015223235,-0.09009677
-0.0378882,1.3290842,-0.0038794577,-0.049897254
-0.18890777,2.4085355,0.013896272,-0.27770883
-0.11962879,1.913574,-0.003747359,-0.16702443
-0.037022263,1.3229766,-0.0073983073,-0.046366513
-0.10133302,1.782886,-0.009466112,-0.13710433
-0.15582374,2.1719751,0.013489127,-0.23007196
-0.15624663,2.174965,0.014908865,-0.23160183
-0.1681706,2.2601976,0.016187474,-0.24950773
-0.15853992,2.1914883,0.009712279,-0.23150241
-0.1188927,1.9082804,-0.0024969578,-0.16678452
-0.014164686,1.1593642,-0.0004184544,-0.018181741
0.013254851,0.9630797,0.008693248,0.015147209
0.006031692,1.014827,0.00462842,0.007450998
-0.039724827,1.3423405,-0.009013534,-0.04918462
0.013947517,0.9581382,0.008214742,0.016450584
-0.0012378693,1.0668042,0.0048130453,-0.0030781627
0.028225422,0.81709754,0.015771076,0.03216052
-0.051569253,1.4271774,-0.014945403,-0.062282383
-0.03822133,1.3316624,-0.012060344,-0.045048237
-0.0008175075,1.0638719,0.0017414391,-0.00047653913
0.03313604,0.81899166,0.015330568,0.039301693
-0.07563463,1.5990772,-0.007381916,-0.10166472
-0.10587457,1.81529,-0.0065285414,-0.14551967
-0.17584324,2.3150015,0.018681154,-0.26211733
-0.21026376,2.5612373,0.014138967,-0.30844557
-0.022447973,1.2186165,-0.0013297349,-0.029448986
-0.026100904,1.2447307,-0.0010830909,-0.034839988
0.017239213,0.93453074,0.01112017,0.019272327
0.02908355,0.8170023,0.01565449,0.03343624
-0.0014299154,1.0681438,0.006213248,-0.0042647123
0.028739244,0.8013835,0.011319518,0.035852373
0.016396642,0.94056976,0.010533169,0.018447995
0.029476792,0.814378,0.015011638,0.034416974
0.03125754,0.7617543,-0.00030969083,0.047133923
0.028325886,0.8207159,0.016675696,0.03169453
0.03441575,0.7090347,-0.015066192,0.06140876
0.027522445,0.8145132,0.0150731355,0.03164476
0.021486849,0.904053,0.015483022,0.022513986
0.01208815,0.9713849,0.010250539,0.012462854
0.025615424,0.87446785,0.018131644,0.026701152
0.0023590028,1.0410528,0.006127864,0.001216054
0.018112928,0.9282421,0.012836665,0.019405842
0.036692575,0.67136407,-0.024419054,0.07086116
-0.059494108,1.4838972,-0.017126411,-0.072209775
0.027975857,0.80318904,0.01079917,0.0351156
0.021490872,0.9039655,0.017932236,0.020925224
0.02684179,0.8256073,0.017688483,0.0289374
-0.0056884885,1.0985866,0.0065667033,-0.01059252
0.033823222,0.71068406,-0.014780849,0.060386896
0.03739524,0.66234875,-0.026667207,0.07335025
0.027021885,0.8262408,0.018007964,0.02897805
0.03207481,0.7369826,-0.00817807,0.053518057
0.030831426,0.75794566,-0.0022733808,0.04783517
0.021162301,0.6472225,-0.0057107806,0.036382735
0.037527606,0.64947736,-0.028416753,0.074736
0.034968942,0.69472694,-0.018662572,0.06459206
0.013044685,0.964556,0.009796098,0.014128327
0.026025653,0.871588,0.015894562,0.028744996
0.03469476,0.69918704,-0.017186925,0.0632267
-0.034020066,1.3015308,-0.008304834,-0.04147762
-0.032179445,1.2883813,-0.008803502,-0.038517416
-0.047158003,1.3956728,-0.016551211,-0.054920614
-0.12411943,1.945548,0.0019468069,-0.1771614
0.012662858,0.9673611,0.0066795796,0.015610576
0.029397696,0.7986934,0.011484563,0.036678076
-0.0156537,1.1700771,-0.0031481683,-0.018536687
-0.029735059,1.270855,-0.00682649,-0.036304474
-0.08278966,1.6502194,-0.006524369,-0.112468004
0.00036540627,1.0555029,-0.0019810796,0.0036406517
-0.025308937,1.2391901,-0.0061713755,-0.030393362
0.023878664,0.8870652,0.010682806,0.02906382
0.0072736144,1.0059782,0.0033090115,0.010088265
0.03017503,0.7836864,0.0072627515,0.04058534
-0.011037439,1.1371021,-0.004572749,-0.010999322
-0.011166632,1.1380193,-0.004299879,-0.011362016
-0.01064834,1.1342988,-0.0037011504,-0.011009634
0.0019851923,1.0438466,0.0010935217,0.0039583445
0.0075929463,1.0037365,0.0015678108,0.011679113
0.02508396,0.8784065,0.01236169,0.029696643
0.03058812,0.77950716,0.005993694,0.042008996
-0.001455903,1.0684717,0.0002965927,-0.00045001507
-0.015035838,1.1656275,-0.0018441379,-0.018500865
-0.03754419,1.3267312,-0.008337855,-0.046502113
-0.002720952,1.0774388,0.0035747439,-0.004395604
0.012775749,0.96651816,0.008153647,0.014812589
0.020112187,0.91400194,0.0105163455,0.023779094
0.021276087,0.905673,0.010774866,0.025277376
-0.09780088,1.7576365,-0.009782538,-0.13184077
-0.2052744,2.5253892,0.021288082,-0.3059559
-0.014440149,1.161556,-0.009674281,-0.012550294
0.026093036,0.8713329,0.0064528286,0.034988344
-0.0034550726,1.0830071,-0.0097050965,0.003198862
0.035482824,0.71158195,-0.011564106,0.060607612
0.03733754,0.7532201,0.0005095005,0.055139124
-0.104602605,1.8058743,0.0068196505,-0.15238851
-0.13547435,2.0261922,0.024861217,-0.2083382
-0.034985572,1.3084369,-0.008395001,-0.04280132
0.021152288,0.9069153,-0.004091218,0.034778357
0.0011736453,1.0500848,-0.017035782,0.014599025
-0.01579997,1.1713147,-0.011136621,-0.013545334
0.017678827,0.9319761,-0.0133957565,0.035862386
-0.032448173,1.2903233,-0.00964731,-0.038352847
-0.006665617,1.1060054,-0.011420667,-0.00028133392
0.027167201,0.86382914,-0.00092856586,0.041331887
0.018832624,0.9237044,-0.012513772,0.036940277
0.0057971776,1.0170546,-0.018307358,0.022047102
0.0044534504,1.0266769,-0.018881962,0.020497143
-0.008442283,1.1187177,-0.011752427,-0.002609253
0.028507084,0.85429454,-0.0028597564,0.044507742
-0.03132665,1.2821407,-0.002855122,-0.04116893
-0.016539961,1.1764932,-0.006433919,-0.017666519
-0.026422888,1.2470968,-0.00372608,-0.033580363
0.04808159,0.6052203,-0.03605634,0.0946731
